"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"484","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","MEDILINE INSTRUMENTS","Payment Success","140000"
"485","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","MEDILINE INSTRUMENTS","Payment Success","40999"
"486","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","HEMODIAZ LIFE SCIENCES PVT LTD","Payment Success","429"
"487","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","UNITED SURGICAL INDUSTRIES","Payment Success","7400"
"488","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP18403/2025-2026/219864","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","18-Aug-2026","A K SALES CORPORATION","Payment Success","1678"
"489","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP112/2026-2027/213834","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","07-Aug-2026","GHUMAI CONSTRUCTION","Payment Success","1976499"
"490","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP112/2026-2027/146648","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","07-Aug-2026","VIRABHIMANYU JAGANNATH RASAM","Payment Success","1493859"
"491","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2026-2027/171219","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","13-Aug-2026","Shri Ambabai Construction","Payment Success","991432"
"492","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP112/2026-2027/200630","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","10-Aug-2026","ANIKET MAHADEV MAHANTSHETTY","Payment Success","999000"
"493","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/182269","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","10-Aug-2026","Kunhayammu M","Payment Success","474937"
"494","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18387/2026-2027/258785","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","14-Aug-2026","Ashu Brothers","Payment Success","240000"
"495","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/238396","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","11-Aug-2026","Shihabudheen","Payment Success","473538"
"496","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Karamjeet Singh","Payment Success","188786"
"497","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Karamjeet Singh","Payment Success","115752"
"498","Punjab","Construction of community centers and community halls","WS/MP235/2026-2027/299131","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Harmandeep Singh","Payment Success","47366"
